Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Attachment,Attachment,Attachment,Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Reason),Custom field (Request Type),Custom field (Score),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Team Id,Team Name,Custom field (Test Level),Custom field (Test Steps),Custom field (Testcase Result),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Parent,Parent summary,Status Category,Status Category Changed
SCB - 06 - Create booking by day - Transaction failed,N6NET1815-121,10257,Testcases,Resolved,N6NET1815,N6_NET1815_SWP,software,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,,,Medium,Done,Dang Thanh Ngoc (K18 HCM),712020:42bbbce0-a3fb-4d70-8feb-0f4480eb38c4,Dang Thanh Ngoc (K18 HCM),712020:42bbbce0-a3fb-4d70-8feb-0f4480eb38c4,Dang Thanh Ngoc (K18 HCM),712020:42bbbce0-a3fb-4d70-8feb-0f4480eb38c4,16/Jul/24 10:22 PM,17/Jul/24 1:06 PM,20/Jul/24 2:05 PM,16/Jul/24 10:41 PM,,0,STAFF_CREATE_BOOKING,"*SCB - 06 - Create booking by day - Transaction failed*

*Step we will takes…….*

# Navigate to “By day” section
# Select a branch
# Select from 1 to 3 valid slots
# Click on “Continue”
# Enter an email belonging to an existing account
# Click on “Check”
# For each slots, select a court
# Click on “Next”
# Cancel the payment or wait until it expires

*Success Is…..*

An error to notify the user",,Dang Thanh Ngoc (K18 HCM),,712020:42bbbce0-a3fb-4d70-8feb-0f4480eb38c4,,,,,,,,,,,N6NET1815-102,,,,,N6NET1815-105,16/Jul/24 10:41 PM;712020:42bbbce0-a3fb-4d70-8feb-0f4480eb38c4;image-20240716-154056.png;https://lethanhnhan09012004.atlassian.net/rest/api/3/attachment/content/10231,,,"An error:
Your payment was declined. Please try again or use a different payment method.",,,,,,{},,N6NET1815-5,Booking Management,,,An error to notify the user,,purple,,,0|i0016n:,,,,,Sprint 2,,,,,,,93219d9b-e420-4ee3-9bd9-f675d9dbb22b,N6_NET1815,Unit,"1. Navigate to “By day” section
2. Select branch B00002
3. Select slot 12:00 - 13:00 on Wed 17/7
4. Click on “Continue”
5. Enter email ""Postman123@gmail.com""
6. Click on ""Check""
7. For the slot, choose court ""sân 4""
8. Click on “Next”
9. Cancel the payment or wait until it expires",Pass,,,,1_*:*_1_*:*_1165735_*|*_5_*:*_1_*:*_0,,10141,Booking Management,Done,16/Jul/24 10:41 PM
SCB - 05 - Create booking by day - Doesn't select court,N6NET1815-120,10256,Bug,Open,N6NET1815,N6_NET1815_SWP,software,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,,,Medium,,Dang Thanh Ngoc (K18 HCM),712020:42bbbce0-a3fb-4d70-8feb-0f4480eb38c4,Dang Thanh Ngoc (K18 HCM),712020:42bbbce0-a3fb-4d70-8feb-0f4480eb38c4,Dang Thanh Ngoc (K18 HCM),712020:42bbbce0-a3fb-4d70-8feb-0f4480eb38c4,16/Jul/24 10:03 PM,20/Jul/24 1:30 PM,20/Jul/24 2:05 PM,,,0,STAFF_CREATE_BOOKING,"*SCB - 05 - Create booking by day - Doesn't select court*

*Step we will takes…….*

# Navigate to “By day” section
# Select a branch
# Select from 1 to 3 valid slots
# Click on “Continue”
# Enter an email belonging to an existing account
# Click on “Check”
# Click on “Next”
# Complete payment

*Success Is…..*

An error to notify user",,Dang Thanh Ngoc (K18 HCM),,712020:42bbbce0-a3fb-4d70-8feb-0f4480eb38c4,,,,,,,,,,,N6NET1815-102,,,,,N6NET1815-105,16/Jul/24 10:07 PM;712020:42bbbce0-a3fb-4d70-8feb-0f4480eb38c4;Screenshot 2024-07-16 220653.png;https://lethanhnhan09012004.atlassian.net/rest/api/3/attachment/content/10229,16/Jul/24 10:07 PM;712020:42bbbce0-a3fb-4d70-8feb-0f4480eb38c4;Screenshot 2024-07-16 220708.png;https://lethanhnhan09012004.atlassian.net/rest/api/3/attachment/content/10230,,The user is redirected to payment page,,,,,,{},,N6NET1815-5,Booking Management,,,An error to notify user,,purple,,,0|i0016f:,,,,,Sprint 2,,,,,,,93219d9b-e420-4ee3-9bd9-f675d9dbb22b,N6_NET1815,Unit,"1. Navigate to “By day” section
2. Select branch B00002
3. Select slot 12:00 - 13:00 on Tue 23/7
4. Click on “Continue”
5. Enter email ""Postman123@gmail.com""
6. Click on ""Check""
7. Click on “Next”
8. Choose ""Thẻ nội địa và tài khoản ngân hàng"" and choose ""NCB""
9. Input ""9704198526191432198"" on ""Số thẻ""
10. Input ""NGUYEN VAN A"" on ""Tên chủ thẻ""
11. Input ""07/15"" on ""Ngày phát hành""
12. Click ""Tiếp tục"", then ""Đồng ý & Tiếp tục""
13. Input ""123456"" on OTP,
14. Click ""Thanh toán""",Fail,,,,,,10141,Booking Management,To Do,16/Jul/24 10:03 PM
SCB - 04 - Create booking by day - More than 3 slots,N6NET1815-119,10255,Testcases,Resolved,N6NET1815,N6_NET1815_SWP,software,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,,,Medium,Done,Dang Thanh Ngoc (K18 HCM),712020:42bbbce0-a3fb-4d70-8feb-0f4480eb38c4,Dang Thanh Ngoc (K18 HCM),712020:42bbbce0-a3fb-4d70-8feb-0f4480eb38c4,Dang Thanh Ngoc (K18 HCM),712020:42bbbce0-a3fb-4d70-8feb-0f4480eb38c4,16/Jul/24 9:39 PM,20/Jul/24 1:16 PM,20/Jul/24 2:05 PM,20/Jul/24 1:16 PM,,0,STAFF_CREATE_BOOKING,"*SCB - 04 - Create booking by day - More than 3 slots*

*Step we will takes…….*

# Navigate to “By day” section
# Select a branch
# Select from more than 3 valid slots
# Click on “Continue”

*Success Is…..*

An error to notify the user",,Dang Thanh Ngoc (K18 HCM),,712020:42bbbce0-a3fb-4d70-8feb-0f4480eb38c4,,,,,,,,,,,N6NET1815-102,,,,,N6NET1815-118,16/Jul/24 9:47 PM;712020:42bbbce0-a3fb-4d70-8feb-0f4480eb38c4;image-20240716-144751.png;https://lethanhnhan09012004.atlassian.net/rest/api/3/attachment/content/10228,,,"An error:
You can select up to 3 slots only",,,,,,{},,N6NET1815-5,Booking Management,,,An error to notify the user,,purple,,,0|i00167:,,,,,Sprint 2,,,,,,,93219d9b-e420-4ee3-9bd9-f675d9dbb22b,N6_NET1815,Unit,"1. Navigate to “By day” section
2. Select branch B00002
3. Select slot 08:00 - 09:00, 09:00 - 10:00, 11:00 - 12:00 and 12:00 - 13:00 on Fri 19/7
4. Click on “Continue”",Pass,,,,1_*:*_1_*:*_488519_*|*_4_*:*_1_*:*_310039743_*|*_5_*:*_2_*:*_4906403,,10141,Booking Management,Done,20/Jul/24 1:16 PM
SCB - 03 - Create booking by day - Overlapping booking,N6NET1815-118,10254,Testcases,Resolved,N6NET1815,N6_NET1815_SWP,software,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,,,Medium,Done,Dang Thanh Ngoc (K18 HCM),712020:42bbbce0-a3fb-4d70-8feb-0f4480eb38c4,Dang Thanh Ngoc (K18 HCM),712020:42bbbce0-a3fb-4d70-8feb-0f4480eb38c4,Dang Thanh Ngoc (K18 HCM),712020:42bbbce0-a3fb-4d70-8feb-0f4480eb38c4,16/Jul/24 8:51 PM,17/Jul/24 1:06 PM,20/Jul/24 2:05 PM,16/Jul/24 9:30 PM,,0,STAFF_CREATE_BOOKING,"*SCB - 03 - Create booking by day - Overlapping booking*

*Step we will takes…….*

# Navigate to “By day” section
# Select a branch
# Select from 1 to 3 valid slots
# Click on “Continue”
# Enter an email belonging to an existing account
# Click on “Check”
# For each slots, select a court

*Success Is…..*

An error to notify the user, or the overlap is not an option",,Dang Thanh Ngoc (K18 HCM),,712020:42bbbce0-a3fb-4d70-8feb-0f4480eb38c4,,,,,,,,,,,N6NET1815-102,,N6NET1815-119,,,N6NET1815-117,16/Jul/24 9:23 PM;712020:42bbbce0-a3fb-4d70-8feb-0f4480eb38c4;image-20240716-142303.png;https://lethanhnhan09012004.atlassian.net/rest/api/3/attachment/content/10227,,,"Court ""sân 4"" is not an option",,,,,,{},,N6NET1815-5,Booking Management,,,"An error to notify the user, or the overlap is not an option",,purple,,,0|i0015z:,,,,,Sprint 2,,,,,,,93219d9b-e420-4ee3-9bd9-f675d9dbb22b,N6_NET1815,Unit,"1. Navigate to “By day” section
2. Select branch B00002
3. Select slot 12:00 - 13:00 on Wed 17/7
4. Click on “Continue”
5. Enter email ""randomEmail@gmail.com""
6. Click on ""Check""
7. For the slot, choose court ""sân 4""",Pass,,,,1_*:*_1_*:*_2341813_*|*_5_*:*_1_*:*_0,,10141,Booking Management,Done,16/Jul/24 9:30 PM
SCB - 02 - Create booking by day - User email doesn't exist,N6NET1815-117,10253,Testcases,Resolved,N6NET1815,N6_NET1815_SWP,software,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,,,Medium,Done,Dang Thanh Ngoc (K18 HCM),712020:42bbbce0-a3fb-4d70-8feb-0f4480eb38c4,Dang Thanh Ngoc (K18 HCM),712020:42bbbce0-a3fb-4d70-8feb-0f4480eb38c4,Dang Thanh Ngoc (K18 HCM),712020:42bbbce0-a3fb-4d70-8feb-0f4480eb38c4,16/Jul/24 8:42 PM,17/Jul/24 1:05 PM,20/Jul/24 2:05 PM,16/Jul/24 8:47 PM,,0,STAFF_CREATE_BOOKING,"*SCB - 02 - Create booking by day - User email doesn't exist*

*Step we will takes…….*

# Navigate to “By day” section
# Select a branch
# Select from 1 to 3 valid slots
# Click on “Continue”
# Enter an email belonging to an existing account
# Click on “Check”

*Success Is…..*

An error at the email field",,Dang Thanh Ngoc (K18 HCM),,712020:42bbbce0-a3fb-4d70-8feb-0f4480eb38c4,,,,,,,,,,,N6NET1815-102,,N6NET1815-118,,,N6NET1815-105,16/Jul/24 8:45 PM;712020:42bbbce0-a3fb-4d70-8feb-0f4480eb38c4;image-20240716-134531.png;https://lethanhnhan09012004.atlassian.net/rest/api/3/attachment/content/10226,,,"An error at the email field:
User does not exist. Please register.",,,,,,{},,N6NET1815-5,Booking Management,,,"An error at the email field:
User does not exist. Please register.",,purple,,,0|i0015r:,,,,,Sprint 2,,,,,,,93219d9b-e420-4ee3-9bd9-f675d9dbb22b,N6_NET1815,Unit,"1. Navigate to “By day” section
2. Select branch B00002
3. Select slot 12:00 - 13:00 on Wed 17/7
4. Click on “Continue”
5. Enter email ""randomEmail@gmail.com""
6. Click on ""Check""",Pass,,,,1_*:*_1_*:*_260384_*|*_5_*:*_1_*:*_0,,10141,Booking Management,Done,16/Jul/24 8:47 PM
UC05.5 - Booking Badminton Court - Verify that the cancel booking method is complete or not ,N6NET1815-116,10252,Testcases,Resolved,N6NET1815,N6_NET1815_SWP,software,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,,,Medium,Done,Nguyen Ha Linh (K18 HCM),712020:5b2e6ea6-163e-4747-b0a0-4ddefefc017e,Nguyen Ha Linh (K18 HCM),712020:5b2e6ea6-163e-4747-b0a0-4ddefefc017e,Nguyen Ha Linh (K18 HCM),712020:5b2e6ea6-163e-4747-b0a0-4ddefefc017e,16/Jul/24 3:02 PM,16/Jul/24 3:08 PM,20/Jul/24 2:05 PM,16/Jul/24 3:07 PM,,0,BOOKBADMINTONCOURT,Ensure that if the cancel booking method is complete or not,,Nguyen Ha Linh (K18 HCM),,712020:5b2e6ea6-163e-4747-b0a0-4ddefefc017e,,,,,,,,,,,N6NET1815-28,N6NET1815-5,,,,,16/Jul/24 3:07 PM;712020:5b2e6ea6-163e-4747-b0a0-4ddefefc017e;bandicam 2024-07-16 15-06-49-770.mp4;https://lethanhnhan09012004.atlassian.net/rest/api/3/attachment/content/10222,,,Test case is passed,,,,,,{},,N6NET1815-5,Booking Management,,,Test case is passed,,purple,,,0|i000xy:z,,,,,,,,,,,,,,Unit,1. Testing the cancel booking method,Pass,,,,1_*:*_1_*:*_275803_*|*_5_*:*_1_*:*_0,,10141,Booking Management,Done,16/Jul/24 3:07 PM
UC05.4 - Booking Badminton Court - Verify that the reserve booking handle the invalid user,N6NET1815-115,10251,Testcases,Resolved,N6NET1815,N6_NET1815_SWP,software,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,,,Medium,Done,Nguyen Ha Linh (K18 HCM),712020:5b2e6ea6-163e-4747-b0a0-4ddefefc017e,Nguyen Ha Linh (K18 HCM),712020:5b2e6ea6-163e-4747-b0a0-4ddefefc017e,Nguyen Ha Linh (K18 HCM),712020:5b2e6ea6-163e-4747-b0a0-4ddefefc017e,16/Jul/24 3:00 PM,16/Jul/24 3:19 PM,20/Jul/24 2:05 PM,16/Jul/24 3:00 PM,,0,BOOKBADMINTONCOURT,"ensure that if request (user) is not valid, return error",,Nguyen Ha Linh (K18 HCM),,712020:5b2e6ea6-163e-4747-b0a0-4ddefefc017e,,,,,,,,,,,N6NET1815-28,N6NET1815-5,,,,,16/Jul/24 3:02 PM;712020:5b2e6ea6-163e-4747-b0a0-4ddefefc017e;bandicam 2024-07-16 15-01-44-423.mp4;https://lethanhnhan09012004.atlassian.net/rest/api/3/attachment/content/10220,,,Test case is passed,,,,,,{},,N6NET1815-5,Booking Management,,,Test case is passed,,purple,,,0|i000xy:y,,,,,,,,,,,,,,Unit,1. Testing the booking unsuccessful of reserve slot,Pass,,,,1_*:*_1_*:*_41355_*|*_5_*:*_1_*:*_0,,10141,Booking Management,Done,16/Jul/24 3:00 PM
UC05 - Customer - Book Badminton Court - Cannot choose the amount of slots (booking type flex),N6NET1815-114,10250,Testcases,Resolved,N6NET1815,N6_NET1815_SWP,software,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,,,Medium,Done,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,16/Jul/24 2:56 PM,20/Jul/24 1:12 PM,20/Jul/24 1:12 PM,16/Jul/24 3:06 PM,,0,BOOKBADMINTONCOURT,"Customers cannot book the amount of slots (booking type flex) if they haven’t logged in yet.

*Step we will takes…….*

Click “Book“ button

*Success Is…..*

A request login form will be shown up",,Le Thanh Nhan (K18 HCM),,712020:8b31d960-c8c6-49ce-9816-d177c8e23822,,,,,,,,,,,N6NET1815-28,N6NET1815-5,,,,N6NET1815-111,16/Jul/24 3:06 PM;712020:8b31d960-c8c6-49ce-9816-d177c8e23822;Court Callers - Google Chrome 2024-07-16 15-06-07.mp4;https://lethanhnhan09012004.atlassian.net/rest/api/3/attachment/content/10221,,,A request login form will be shown up,,,,,,{},,N6NET1815-5,Booking Management,,,A request login form will be shown up,,purple,,,0|i0015j:,,,,,,,,,,,,,,,Click “Book“ button,Pass,,,,1_*:*_1_*:*_643404_*|*_5_*:*_1_*:*_0,,10141,Booking Management,Done,16/Jul/24 3:06 PM
UC05.3 - Booking Badminton Court - Verify that the slotmodel in booking api is null,N6NET1815-113,10249,Testcases,Resolved,N6NET1815,N6_NET1815_SWP,software,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,,,Medium,Done,Nguyen Ha Linh (K18 HCM),712020:5b2e6ea6-163e-4747-b0a0-4ddefefc017e,Nguyen Ha Linh (K18 HCM),712020:5b2e6ea6-163e-4747-b0a0-4ddefefc017e,Nguyen Ha Linh (K18 HCM),712020:5b2e6ea6-163e-4747-b0a0-4ddefefc017e,16/Jul/24 2:55 PM,16/Jul/24 3:19 PM,16/Jul/24 3:09 PM,16/Jul/24 2:59 PM,,0,BOOKBADMINTONCOURT,"ensure that if  request (slotmodel) is null, return error",,Nguyen Ha Linh (K18 HCM),,712020:5b2e6ea6-163e-4747-b0a0-4ddefefc017e,,,,,,,,,,,N6NET1815-5,N6NET1815-28,,,,,16/Jul/24 2:59 PM;712020:5b2e6ea6-163e-4747-b0a0-4ddefefc017e;bandicam 2024-07-16 14-58-30-091.mp4;https://lethanhnhan09012004.atlassian.net/rest/api/3/attachment/content/10219,,,Test case is passed,,,,,,{},,N6NET1815-5,Booking Management,,,Test case is passed,,purple,,,0|i000xy:w,,,,,,,,,,,,,,Unit,1. Testing the booking unsuccessful of reserve slot,Pass,,,,1_*:*_1_*:*_203044_*|*_5_*:*_1_*:*_0,,10141,Booking Management,Done,16/Jul/24 2:59 PM
UC05.2 - Booking Badminton Court - Verify that the booking fail are notify to customer by api,N6NET1815-112,10248,Testcases,Resolved,N6NET1815,N6_NET1815_SWP,software,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,,,Medium,Done,Nguyen Ha Linh (K18 HCM),712020:5b2e6ea6-163e-4747-b0a0-4ddefefc017e,Nguyen Ha Linh (K18 HCM),712020:5b2e6ea6-163e-4747-b0a0-4ddefefc017e,Nguyen Ha Linh (K18 HCM),712020:5b2e6ea6-163e-4747-b0a0-4ddefefc017e,16/Jul/24 2:52 PM,16/Jul/24 3:18 PM,16/Jul/24 3:10 PM,16/Jul/24 2:54 PM,,0,BOOKBADMINTONCOURT,"ensure that if request not correct, return error",,Nguyen Ha Linh (K18 HCM),,712020:5b2e6ea6-163e-4747-b0a0-4ddefefc017e,,,,,,,,,,,N6NET1815-28,N6NET1815-5,,,,,16/Jul/24 2:55 PM;712020:5b2e6ea6-163e-4747-b0a0-4ddefefc017e;bandicam 2024-07-16 14-54-32-546.mp4;https://lethanhnhan09012004.atlassian.net/rest/api/3/attachment/content/10218,,,Test case is passed,,,,,,{},,N6NET1815-5,Booking Management,,,Test case is passed,,purple,,,0|i000xy:vr,,,,,,,,,,,,,,Unit,1. Testing the booking unsuccessful of reserve slot,Pass,,,,1_*:*_1_*:*_93884_*|*_5_*:*_1_*:*_0,,10141,Booking Management,Done,16/Jul/24 2:54 PM
UC05 - Customer - Book Badminton Court - Choose the amount of slots to book (booking type flex),N6NET1815-111,10247,Testcases,Resolved,N6NET1815,N6_NET1815_SWP,software,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,,,Medium,Done,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,16/Jul/24 2:43 PM,20/Jul/24 1:12 PM,20/Jul/24 1:11 PM,16/Jul/24 2:53 PM,,0,BOOKBADMINTONCOURT,"Customer can book the amount of slots (booking type flex)

*Step we will takes…….*

Click Number of slots box.

Enter the value: 10

Click “Book“ button

*Success Is…..*

Users will be redirected to the play time selection page.",,Le Thanh Nhan (K18 HCM),,712020:8b31d960-c8c6-49ce-9816-d177c8e23822,,,,,,,,,,,N6NET1815-28,N6NET1815-5,N6NET1815-114,,,,16/Jul/24 2:53 PM;712020:8b31d960-c8c6-49ce-9816-d177c8e23822;Court Callers - Google Chrome 2024-07-16 14-52-57.mp4;https://lethanhnhan09012004.atlassian.net/rest/api/3/attachment/content/10217,,,Users will be redirected to the play time selection page.,,,,,,{},,N6NET1815-5,Booking Management,,,Users will be redirected to the play time selection page.,,purple,,,0|i0015b:,,,,,,,,,,,,,,,"Click Number of slots box.

Enter the value: 10

Click “Book“ button",Pass,,,,1_*:*_1_*:*_596301_*|*_5_*:*_1_*:*_0,,10141,Booking Management,Done,16/Jul/24 2:53 PM
UC05.1 - Booking Badminton Court - Verify that the booking are complete and save in the system,N6NET1815-110,10246,Testcases,Resolved,N6NET1815,N6_NET1815_SWP,software,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,,,Medium,Done,Nguyen Ha Linh (K18 HCM),712020:5b2e6ea6-163e-4747-b0a0-4ddefefc017e,Nguyen Ha Linh (K18 HCM),712020:5b2e6ea6-163e-4747-b0a0-4ddefefc017e,Nguyen Ha Linh (K18 HCM),712020:5b2e6ea6-163e-4747-b0a0-4ddefefc017e,16/Jul/24 2:27 PM,16/Jul/24 3:17 PM,16/Jul/24 3:10 PM,16/Jul/24 2:48 PM,,0,BOOKBADMINTONCOURT,Ensure that the booking are complete and save in the system,,Nguyen Ha Linh (K18 HCM),,712020:5b2e6ea6-163e-4747-b0a0-4ddefefc017e,,,,,,,,,,,N6NET1815-28,N6NET1815-5,,,,,16/Jul/24 2:52 PM;712020:5b2e6ea6-163e-4747-b0a0-4ddefefc017e;bandicam 2024-07-16 14-51-32-784.mp4;https://lethanhnhan09012004.atlassian.net/rest/api/3/attachment/content/10216,,,Test case is passed,,,,,,{},,N6NET1815-5,Booking Management,,,Test case is passed,,purple,,,0|i000xy:vi,,,,,,,,,,,,,,Unit,1. Testing the booking successful of reserve slot,Pass,,,,1_*:*_1_*:*_1268539_*|*_5_*:*_1_*:*_0,,10141,Booking Management,Done,16/Jul/24 2:48 PM
"UC06 - Search Available Courts - Search by Name or City, District (unhappy case)",N6NET1815-109,10245,Testcases,Resolved,N6NET1815,N6_NET1815_SWP,software,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,,,Medium,Done,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,16/Jul/24 2:02 PM,16/Jul/24 2:41 PM,16/Jul/24 10:17 PM,16/Jul/24 2:13 PM,,0,SEARCHAVAILABELCOURT,"Customer cannot find the Court if the search value doesn't  match with Court detail

*Step we will takes…….*

# Select “City” box in update user profile form.
# Input: Hà Nội
# Click “Search”

*Success Is…..*

No Court will be shown.",,Le Thanh Nhan (K18 HCM),,712020:8b31d960-c8c6-49ce-9816-d177c8e23822,,,,,,,,,,,N6NET1815-21,N6NET1815-29,,,,N6NET1815-108,16/Jul/24 2:05 PM;712020:8b31d960-c8c6-49ce-9816-d177c8e23822;localhost_3000_ (1).png;https://lethanhnhan09012004.atlassian.net/rest/api/3/attachment/content/10212,,,No Court will be shown.,,,,,,{},,N6NET1815-21,Court Management,,,No Court will be shown.,,purple,,,0|i000s4:,,,,,,,,,,,,,,,"Select “City” box in update user profile form.

Input: Hà Nội

Click “Search”",Pass,,,,1_*:*_1_*:*_675478_*|*_5_*:*_1_*:*_0,,10157,Court Management,Done,16/Jul/24 2:13 PM
"UC06 - Search Available Courts - Search by Name or City, District",N6NET1815-108,10244,Testcases,Resolved,N6NET1815,N6_NET1815_SWP,software,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,,,Medium,Done,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,16/Jul/24 1:47 PM,16/Jul/24 2:41 PM,16/Jul/24 2:40 PM,16/Jul/24 1:58 PM,,0,SEARCHAVAILABELCOURT,"The customers, guest can search Court by Name, City, District

*Step we will takes…….*

# Select “City” box in update user profile form.
# Input: Hồ Chí Minh
# Click “Search”

*Success Is…..*

A list of Court which match with the search value will be shown.",,Le Thanh Nhan (K18 HCM),,712020:8b31d960-c8c6-49ce-9816-d177c8e23822,,,,,,,,,,,N6NET1815-21,N6NET1815-29,N6NET1815-109,,,,16/Jul/24 1:57 PM;712020:8b31d960-c8c6-49ce-9816-d177c8e23822;localhost_3000_.png;https://lethanhnhan09012004.atlassian.net/rest/api/3/attachment/content/10209,,,A list of Court which match with the search value will be shown.,,,,,,{},,N6NET1815-21,Court Management,,,A list of Court which match with the search value will be shown.,,purple,,,0|i000s6:,,,,,,,,,,,,,,,"Select “City” box in update user profile form.

Input: Hồ Chí Minh

Click “Search”",Pass,,,,1_*:*_1_*:*_643019_*|*_5_*:*_1_*:*_0,,10157,Court Management,Done,16/Jul/24 1:58 PM
UC01.2 - Booking Badminton Court - Verify that the customers can see if they have spare slot left in Flex Booking,N6NET1815-107,10243,Testcases,Resolved,N6NET1815,N6_NET1815_SWP,software,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,,,Medium,Done,Nguyen Ha Linh (K18 HCM),712020:5b2e6ea6-163e-4747-b0a0-4ddefefc017e,Nguyen Ha Linh (K18 HCM),712020:5b2e6ea6-163e-4747-b0a0-4ddefefc017e,Nguyen Ha Linh (K18 HCM),712020:5b2e6ea6-163e-4747-b0a0-4ddefefc017e,16/Jul/24 1:46 PM,16/Jul/24 3:10 PM,16/Jul/24 2:37 PM,16/Jul/24 2:48 PM,,0,BOOKBADMINTONCOURT,Verify that the spare slot left in Flex Booking if the user have it when the user navigates to the court booking section.,,Nguyen Ha Linh (K18 HCM),,712020:5b2e6ea6-163e-4747-b0a0-4ddefefc017e,,,,,,,,,,,N6NET1815-28,N6NET1815-5,,,,,16/Jul/24 1:52 PM;712020:5b2e6ea6-163e-4747-b0a0-4ddefefc017e;Screenshot 2024-07-16 134938.png;https://lethanhnhan09012004.atlassian.net/rest/api/3/attachment/content/10207,,,Customer can see the remaining booking slots if they have booking type flex before,,,,,,{},,N6NET1815-5,Booking Management,,,Customer can see the remaining booking slots if they have booking type flex before,,purple,,,0|i000xx:,,,,,,,,,,,,,,Unit,"1. Log in to the system.
2. Navigate to the badminton court booking section.
3. Select a branch from the list of available branches.
4. Choose the type ""flex"" booking.",Pass,,,,1_*:*_1_*:*_3740932_*|*_5_*:*_1_*:*_0,,10141,Booking Management,Done,16/Jul/24 2:48 PM
